id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,32,21,2021-07-25,0.27,1,17,4,
5506,** Private! Minutes to center!**,8229,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,99,3,110,2021-10-25,0.71,10,75,3,Approved by the government
6695,Home Away from Home! Condo,8229,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,250,3,116,2021-10-12,0.77,10,127,1,STR446650
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Beacon Hill,42.35867,-71.06307,Entire home/apt,80,91,25,2020-04-15,0.28,6,244,0,
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.35906,-71.06271,Entire home/apt,95,91,32,2020-04-16,0.21,6,314,0,
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,116,29,5,2020-12-02,0.07,11,365,0,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36377,-71.05206,Entire home/apt,106,33,2,2016-05-23,0.03,11,365,0,
13247,Back Bay studio apartment,51637,Susan,,Back Bay,42.35164,-71.08752,Entire home/apt,75,91,0,,,2,0,0,
16384,Small Room in Cambridge Kendall MIT,23078,Eric,,Beacon Hill,42.35956,-71.0698,Private room,50,91,0,,,1,365,0,
18711,The Dorset Redline | 3BR 1BA | Short walk to Redline for Mass General and UMass!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,111,30,52,2019-10-05,0.37,27,200,0,
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34487,-71.07441,Private room,148,29,315,2019-12-13,2.49,4,89,0,STR-410426
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,226,2,98,2021-10-24,0.70,1,1,5,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,100,14,85,2021-11-30,0.62,1,183,8,STR-461832
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,125,29,131,2021-09-06,0.95,1,86,1,STR-409822
47521,Private Room with shared bath/Victorian House/ B,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,1,331,2019-04-17,2.41,7,107,0,STR-457920
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,29,142,2021-08-28,1.06,4,99,1,STR-415714
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Downtown,42.35689,-71.06206,Entire home/apt,85,91,47,2021-12-01,0.42,6,273,3,
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37865,-71.06373,Private room,140,2,57,2021-10-03,0.46,1,360,3,STR-415924
77691,Beautiful Victorian House,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,400,1,282,2019-11-02,2.15,7,107,0,STR-457920
163941,2 bed Duplex ApT! Location!,8229,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,241,3,236,2021-11-26,1.88,10,127,8,STR446659
179244,Beautiful room with private bath/#2,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,55,1,93,2019-05-26,0.74,7,357,0,STR-457920
179245,Private Room & private bath in Townhouse /#1,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,50,1,47,2019-05-26,0.38,7,250,0,Exempt: This listing is a hotel or motel
182613,Great 2BR in Boston near everything w free parking,875739,Max,,Charlestown,42.37739,-71.06199,Entire home/apt,169,91,108,2021-05-05,0.86,1,0,1,
184893,Beautiful 1 bedroom apt cld sleep 4,887148,Dawn,,Charlestown,42.37823,-71.06778,Private room,245,29,0,,,3,134,0,
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.30953,-71.0706,Entire home/apt,59,7,75,2021-11-24,0.60,1,258,4,STR-384505
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,60,30,50,2021-08-14,0.40,1,68,5,C0245420351
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,138,3,420,2021-12-08,3.39,2,146,27,STR-409453
205894,Beautiful Victorian House/Room C,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,70,3,204,2019-09-30,1.63,7,199,0,STR-457920
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,102,3,224,2021-11-22,1.79,1,250,25,STR-414064
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,150,3,261,2021-11-15,2.10,1,0,10,STR-396046
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,264,2,376,2021-11-27,3.28,1,232,38,STR-411297
315982,Beautiful Two BR & Two Bathroom Townhouse,119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,149,1,114,2019-08-11,0.96,7,250,0,STR-457920
377474,Room in a Beautiful Victorian House/A,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,45,10,26,2021-12-15,0.23,7,362,1,STR-457920
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30066,-71.08207,Private room,68,91,24,2019-10-07,0.23,4,363,0,
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,3,336,2021-11-27,2.91,1,237,23,STR-459697
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,173,91,16,2016-06-26,0.16,1,0,0,
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,65,180,9,2013-07-01,0.08,1,0,0,
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34491,-71.07368,Private room,148,29,175,2019-10-31,1.51,4,89,0,STR-410426
530983,The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,179,30,67,2019-10-29,0.60,27,99,0,
533152,The Penthouse w/Central AC | 2BR 1BA w/En-Suite HdTV's! | Short walk to the Redline for UMass and Mass General!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,101,30,57,2021-06-27,0.61,27,305,1,
561769,The Sky View w/AC | 3BR 1BA w/En-Suite HdTV's | Short Walk to Redline for Mass General and Boston Medical!,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,101,30,62,2021-05-16,0.55,27,259,2,
568234,Oasis in Boston's Hippest Neighborhood,2796082,Margaret,,Jamaica Plain,42.3036,-71.10539,Private room,121,29,291,2021-12-02,2.54,2,329,19,STR-454183
570493,"2 Bedrms, 2 Priv Bath&Priv Entrance",914630,Bill,,Dorchester,42.28834,-71.05505,Private room,200,3,98,2021-11-01,0.97,1,101,4,STR-416760
